06:31:42.931 total=16.60ms control=6.63ms rotation=0.30ms vertical=0.21ms translation=8.11ms movable=10
06:46:36.817 total=17.07ms control=6.94ms rotation=0.29ms vertical=0.21ms translation=8.34ms movable=10
06:46:38.824 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:46:40.887 total=92.66ms control=91.90ms rotation=0.00ms vertical=0.00ms translation=0.72ms movable=10
06:46:42.921 total=121.15ms control=120.59ms rotation=0.00ms vertical=0.00ms translation=0.53ms movable=10
06:46:44.941 total=120.45ms control=119.91ms rotation=0.00ms vertical=0.00ms translation=0.51ms movable=10
06:46:46.967 total=30.42ms control=29.86ms rotation=0.00ms vertical=0.00ms translation=0.55ms movable=10
06:46:49.024 total=60.60ms control=59.79ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:46:51.034 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:46:53.051 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:46:55.054 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:46:57.064 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:46:59.067 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:01.074 total=0.88ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:47:03.089 total=0.95ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
06:47:05.104 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:47:07.122 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:09.130 total=1.03ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.97ms movable=10
06:47:11.145 total=0.85ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:13.148 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:47:15.170 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:17.179 total=0.88ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:47:19.197 total=0.99ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.93ms movable=10
06:47:21.229 total=0.91ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.86ms movable=10
06:47:23.243 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:47:25.262 total=1.02ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
06:47:27.265 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:47:29.273 total=0.93ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
06:47:31.295 total=30.84ms control=30.00ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:47:33.301 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:47:35.313 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:47:37.358 total=32.89ms control=32.04ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:47:39.372 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:41.380 total=1.03ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.98ms movable=10
06:47:43.387 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:47:45.419 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:47.428 total=0.91ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:47:49.456 total=0.87ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:47:51.461 total=0.89ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:47:53.479 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:47:55.489 total=0.90ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:47:57.525 total=0.98ms control=0.14ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:47:59.544 total=0.91ms control=0.10ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:01.566 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:03.570 total=0.92ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:05.579 total=0.93ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:07.598 total=0.91ms control=0.10ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:09.612 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:48:11.618 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:48:13.656 total=0.97ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.91ms movable=10
06:48:15.698 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:48:17.734 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:19.736 total=34.26ms control=33.43ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:48:21.773 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:48:23.776 total=1.02ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
06:48:25.782 total=0.88ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:48:27.786 total=1.03ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.98ms movable=10
06:48:29.786 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:48:31.793 total=0.82ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:48:33.794 total=0.83ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:35.797 total=1.12ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=1.07ms movable=10
06:48:37.803 total=0.91ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
06:48:39.809 total=0.90ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
06:48:41.812 total=0.99ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
06:48:43.829 total=0.92ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
06:48:45.844 total=0.95ms control=0.09ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
06:48:47.868 total=1.01ms control=0.09ms rotation=0.00ms vertical=0.00ms translation=0.90ms movable=10
06:54:45.419 total=16.79ms control=6.72ms rotation=0.29ms vertical=0.20ms translation=8.28ms movable=10
06:54:47.423 total=0.88ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.84ms movable=10
06:54:49.512 total=89.86ms control=89.24ms rotation=0.00ms vertical=0.00ms translation=0.59ms movable=10
06:54:51.526 total=120.07ms control=119.53ms rotation=0.00ms vertical=0.00ms translation=0.51ms movable=10
06:54:53.549 total=121.16ms control=120.63ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
06:54:55.551 total=30.50ms control=29.93ms rotation=0.00ms vertical=0.00ms translation=0.55ms movable=10
06:54:57.552 total=0.87ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:54:59.555 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:55:01.565 total=0.98ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.92ms movable=10
06:55:03.570 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:05.578 total=0.92ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:07.589 total=0.93ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:09.596 total=1.07ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
06:55:11.610 total=0.95ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:55:13.619 total=0.84ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:15.645 total=0.95ms control=0.14ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:17.675 total=60.44ms control=59.60ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:55:19.691 total=0.90ms control=0.09ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:21.693 total=1.04ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.98ms movable=10
06:55:23.701 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:55:25.701 total=0.89ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:27.715 total=0.91ms control=0.10ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:29.718 total=1.03ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.97ms movable=10
06:55:31.730 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:55:33.744 total=1.03ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.98ms movable=10
06:55:35.744 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:37.750 total=0.93ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
06:55:39.750 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:41.759 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:55:43.765 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:55:45.777 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:55:47.799 total=1.00ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
06:55:49.816 total=0.95ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.89ms movable=10
06:55:51.824 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:55:53.826 total=0.87ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:55:55.842 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:55:57.850 total=0.87ms control=0.07ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:55:59.860 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:56:01.860 total=1.04ms control=0.06ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
06:57:08.824 total=17.78ms control=6.85ms rotation=0.30ms vertical=0.19ms translation=9.13ms movable=10
06:57:10.827 total=0.81ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:57:12.841 total=95.91ms control=95.30ms rotation=0.00ms vertical=0.00ms translation=0.58ms movable=10
06:57:14.863 total=122.11ms control=121.61ms rotation=0.00ms vertical=0.00ms translation=0.47ms movable=10
06:57:16.945 total=121.46ms control=120.96ms rotation=0.00ms vertical=0.00ms translation=0.46ms movable=10
06:57:18.963 total=30.71ms control=30.07ms rotation=0.00ms vertical=0.00ms translation=0.63ms movable=10
06:57:20.964 total=0.74ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.69ms movable=10
06:57:22.968 total=0.96ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.90ms movable=10
06:57:24.987 total=0.90ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.76ms movable=10
06:57:26.989 total=0.90ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:57:28.992 total=0.89ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.76ms movable=10
06:57:31.002 total=0.83ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:57:33.002 total=0.91ms control=0.13ms rotation=0.00ms vertical=0.00ms translation=0.76ms movable=10
06:57:35.003 total=1.03ms control=0.14ms rotation=0.00ms vertical=0.00ms translation=0.86ms movable=10
06:57:37.062 total=61.06ms control=60.24ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:57:39.064 total=0.89ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.84ms movable=10
06:57:41.074 total=0.81ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.75ms movable=10
06:57:43.076 total=0.78ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.73ms movable=10
06:57:45.088 total=0.90ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
06:57:47.096 total=0.81ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.75ms movable=10
06:57:49.114 total=0.83ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:57:51.122 total=0.84ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:57:53.125 total=0.79ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.73ms movable=10
06:57:55.125 total=0.85ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:57:57.181 total=61.03ms control=60.24ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:57:59.181 total=0.80ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.75ms movable=10
06:58:01.187 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:58:03.196 total=0.87ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:58:05.199 total=0.83ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:58:07.204 total=1.10ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
06:58:09.222 total=0.97ms control=0.05ms rotation=0.00ms vertical=0.00ms translation=0.89ms movable=10
06:58:11.230 total=1.07ms control=0.05ms rotation=0.00ms vertical=0.00ms translation=1.00ms movable=10
06:58:13.249 total=1.02ms control=0.05ms rotation=0.00ms vertical=0.00ms translation=0.95ms movable=10
06:58:15.256 total=0.96ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.89ms movable=10
06:58:17.256 total=0.90ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.84ms movable=10
06:58:19.274 total=1.04ms control=0.05ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
06:58:21.275 total=1.00ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.93ms movable=10
06:58:23.280 total=1.00ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.93ms movable=10
06:58:25.290 total=1.05ms control=0.05ms rotation=0.00ms vertical=0.00ms translation=0.97ms movable=10
06:58:27.295 total=1.02ms control=0.05ms rotation=0.00ms vertical=0.00ms translation=0.95ms movable=10
06:58:29.295 total=1.04ms control=0.05ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
06:58:31.306 total=0.97ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.91ms movable=10
06:58:33.320 total=1.15ms control=0.06ms rotation=0.00ms vertical=0.00ms translation=1.07ms movable=10
06:58:35.326 total=1.19ms control=0.06ms rotation=0.00ms vertical=0.00ms translation=1.09ms movable=10
06:58:37.326 total=1.46ms control=0.06ms rotation=0.00ms vertical=0.00ms translation=1.35ms movable=10
06:58:39.341 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:58:41.342 total=0.90ms control=0.07ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:58:43.357 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:58:45.376 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:58:47.392 total=0.89ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
06:58:49.405 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:58:51.417 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:58:53.423 total=0.89ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.84ms movable=10
06:58:55.439 total=0.89ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.84ms movable=10
06:58:57.873 total=1.09ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=1.03ms movable=10
06:59:01.614 total=1.03ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.98ms movable=10
06:59:03.620 total=0.90ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
06:59:05.620 total=0.96ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.89ms movable=10
06:59:18.127 total=16.77ms control=6.79ms rotation=0.29ms vertical=0.20ms translation=8.20ms movable=10
06:59:20.140 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:59:22.148 total=90.56ms control=90.00ms rotation=0.00ms vertical=0.00ms translation=0.54ms movable=10
06:59:24.199 total=90.58ms control=90.07ms rotation=0.00ms vertical=0.00ms translation=0.48ms movable=10
06:59:26.212 total=121.13ms control=120.72ms rotation=0.00ms vertical=0.00ms translation=0.39ms movable=10
06:59:28.273 total=62.18ms control=61.61ms rotation=0.00ms vertical=0.00ms translation=0.54ms movable=10
06:59:30.279 total=0.79ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.73ms movable=10
06:59:32.285 total=0.80ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.74ms movable=10
06:59:34.285 total=0.72ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.67ms movable=10
06:59:36.295 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:59:38.344 total=0.82ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:59:40.378 total=30.56ms control=29.77ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:59:42.386 total=0.84ms control=0.07ms rotation=0.00ms vertical=0.00ms translation=0.76ms movable=10
06:59:44.386 total=0.85ms control=0.07ms rotation=0.00ms vertical=0.00ms translation=0.76ms movable=10
06:59:46.400 total=0.93ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:59:48.402 total=0.85ms control=0.07ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:59:50.405 total=0.88ms control=0.07ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:59:52.409 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:59:54.413 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:59:56.418 total=0.74ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.68ms movable=10
06:59:58.432 total=0.74ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.68ms movable=10
07:00:00.469 total=29.76ms control=29.05ms rotation=0.00ms vertical=0.00ms translation=0.69ms movable=10
07:00:02.482 total=0.73ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.68ms movable=10
07:00:04.496 total=0.72ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.68ms movable=10
07:00:05.849 total=0.74ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.69ms movable=10
07:00:07.853 total=0.92ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
07:00:09.859 total=29.24ms control=28.25ms rotation=0.00ms vertical=0.00ms translation=0.97ms movable=10
07:00:11.860 total=29.21ms control=28.37ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:13.894 total=29.38ms control=28.42ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
07:00:15.918 total=29.30ms control=28.38ms rotation=0.00ms vertical=0.00ms translation=0.90ms movable=10
07:00:17.935 total=29.35ms control=28.52ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
07:00:19.966 total=29.24ms control=28.31ms rotation=0.00ms vertical=0.00ms translation=0.91ms movable=10
07:00:22.003 total=29.42ms control=28.53ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
07:00:24.041 total=29.27ms control=28.42ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
07:00:26.068 total=29.16ms control=28.27ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
07:00:28.087 total=29.22ms control=28.38ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
07:00:30.117 total=29.22ms control=28.39ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
07:00:32.151 total=29.35ms control=28.51ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
07:00:34.207 total=29.04ms control=28.21ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
07:00:36.224 total=29.14ms control=28.28ms rotation=0.00ms vertical=0.00ms translation=0.84ms movable=10
07:00:38.313 total=58.25ms control=57.40ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:40.358 total=29.11ms control=28.27ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:42.368 total=29.10ms control=28.25ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:44.408 total=29.41ms control=28.56ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:46.411 total=29.36ms control=28.41ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
07:00:48.430 total=29.43ms control=28.50ms rotation=0.00ms vertical=0.00ms translation=0.92ms movable=10
